SALE TYPE,HOME TYPE,ADDRESS,CITY,STATE,ZIP,LIST PRICE,BEDS,BATHS,LOCATION,SQFT,LOT SIZE,YEAR BUILT,PARKING SPOTS,PARKING TYPE,DAYS ON MARKET,STATUS,NEXT OPEN HOUSE DATE,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,RECENT REDUCTION DATE,ORIGINAL LIST PRICE,LAST SALE DATE,LAST SALE PRICE,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,LISTING ID,ORIGINAL SOURCE,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,IS SHORT SALE
Past Sale,Single Family Residential,136 Avellino Way (Unable to map),Mountain View,CA,94043,,4,3.5,94043,1916,,,,,,,,,,,,2014-12-05,1475000.0,http://www.redfin.com/CA/Mountain-View/136-Avellino-Way-94043/home/62324344,,,,N,Y,37.3902,-122.0566,
Past Sale,Single Family Residential,776 Winston Pl,Mountain View,CA,94043,,3,1.0,94043,984,,1954,,,,,,,,,,2015-03-06,815000.0,http://www.redfin.com/CA/Mountain-View/776-Winston-Pl-94043/home/1160208,,,,N,Y,37.404682,-122.06624,
Past Sale,Single Family Residential,910 Wright Ave,MOUNTAIN VIEW,CA,94043,1525000,3,2.5,MOUNTAIN VIEW,2030,6214,1988,2,Garage,,Sold,,,,,1525000,2015-02-19,1775000.0,http://www.redfin.com/CA/Mountain-View/910-Wright-Ave-94043/home/615213,MLSListings Inc. (MLSLI),ML81450225,Coldwell Banker-Los Gatos,N,Y,37.399514,-122.078612,false
Past Sale,Single Family Residential,220 Oak St,MOUNTAIN VIEW,CA,94041,1688000,3,3.0,MOUNTAIN VIEW,2497,7000,1994,2,Garage,,Sold,,,,,1688000,2015-02-25,2282000.0,http://www.redfin.com/CA/Mountain-View/220-Oak-St-94041/home/1527212,MLSListings Inc. (MLSLI),ML81451175,Alain Pinel Realtors,N,Y,37.394966,-122.082634,false
Past Sale,Single Family Residential,1851 Walnut Dr,MOUNTAIN VIEW,CA,94040,1795000,3,2.5,MOUNTAIN VIEW,1708,8610,1959,2,Garage,,Sold,,,,,1795000,2015-03-19,2250000.0,http://www.redfin.com/CA/Mountain-View/1851-Walnut-Dr-94040/home/1321523,MLSListings Inc. (MLSLI),ML81454209,Intero Real Estate Services,N,Y,37.369475,-122.092161,false
Past Sale,Single Family Residential,752 Burgoyne St,Mountain View,CA,94043,,3,1.0,94043,860,,1950,,,,,,,,,,2014-12-31,993000.0,http://www.redfin.com/CA/Mountain-View/752-Burgoyne-St-94043/home/893690,,,,N,Y,37.405055,-122.086432,
Past Sale,Single Family Residential,214 Lauella Ct,MOUNTAIN VIEW,CA,94041,1100000,3,1.0,MOUNTAIN VIEW,1193,5440,1953,2,Garage,,Sold,,,,,1100000,2015-02-25,1400000.0,http://www.redfin.com/CA/Mountain-View/214-Lauella-Ct-94041/home/1641768,MLSListings Inc. (MLSLI),ML81451297,Alain Pinel Realtors,N,Y,37.398638,-122.092319,false
Past Sale,Single Family Residential,355 Fay Way,MOUNTAIN VIEW,CA,94043,1225000,3,2.0,MOUNTAIN VIEW,1104,5000,1955,1,Garage,,Sold,,,,,1225000,2015-03-04,1510000.0,http://www.redfin.com/CA/Mountain-View/355-Fay-Way-94043/home/1349842,MLSListings Inc. (MLSLI),ML81452486,Coldwell Banker Los Altos,N,Y,37.408033,-122.095271,false
Past Sale,Single Family Residential,859 Tulane Ct,Mountain View,CA,94040,,3,1.5,94040,1178,,1952,,,,,,,,,,2014-11-24,1280000.0,http://www.redfin.com/CA/Mountain-View/859-Tulane-Ct-94040/home/593898,,,,N,Y,37.375751,-122.08936,
Past Sale,Single Family Residential,215 Shumway Ln (Unable to map),Mountain View,CA,94041,,4,2.5,94041,1976,,2014,,,,,,,,,,2014-11-20,1938500.0,http://www.redfin.com/CA/Mountain-View/215-Shumway-Ln-94041/home/62324218,,,,N,Y,37.3904,-122.0726,
Past Sale,Single Family Residential,216 Shumway Ln (Unable to map),Mountain View,CA,94041,,4,2.5,94041,1976,,2014,,,,,,,,,,2014-11-26,1909000.0,http://www.redfin.com/CA/Mountain-View/216-Shumway-Ln-94041/home/62324238,,,,N,Y,37.3904,-122.0726,
Past Sale,Single Family Residential,1236 Christobal Privada,Mountain View,CA,94040,,4,2.5,94040,2493,,1986,,,,,,,,,,2015-01-29,1695000.0,http://www.redfin.com/CA/Mountain-View/1236-Christobal-Privada-94040/home/780834,,,,N,Y,37.370493,-122.064819,
Past Sale,Townhouse,1155 Carlos Privada,Mountain View,CA,94040,,3,3.0,94040,2022,,1985,,,,,,,,,,2015-02-18,1451000.0,http://www.redfin.com/CA/Mountain-View/1155-Carlos-Privada-94040/home/1045276,,,,N,Y,37.372633,-122.063204,
Past Sale,Single Family Residential,305 Woodland Park Ln,Mountain View,CA,94043,,4,3.0,94043,2264,,1988,,,,,,,,,,2015-02-17,1860000.0,http://www.redfin.com/CA/Mountain-View/305-Woodland-Park-Ln-94043/home/1345098,,,,N,Y,37.398653,-122.076794,
Past Sale,Single Family Residential,501 Alicia Way,Los Altos,CA,94022,,3,3.0,94022,2056,,1954,,,,,,,,,,2015-02-26,2820000.0,http://www.redfin.com/CA/Los-Altos/501-Alicia-Way-94022/home/1748095,,,,N,Y,37.390303,-122.104872,
Past Sale,Single Family Residential,1572 Spring St,Mountain View,CA,94043,,3,2.0,94043,1258,,1956,,,,,,,,,,2015-02-27,978500.0,http://www.redfin.com/CA/Mountain-View/1572-Spring-St-94043/home/1629677,,,,N,Y,37.412684,-122.081168,
Past Sale,Single Family Residential,1147 Creek Way,Mountain View,CA,94040,,3,2.5,94040,1653,,2009,,,,,,,,,,2015-02-25,1505000.0,http://www.redfin.com/CA/Mountain-View/1147-Creek-Way-94040/home/23044943,,,,N,Y,37.383736,-122.089235,
Past Sale,Single Family Residential,101 Savannah Loop (Unable to map),MOUNTAIN VIEW,CA,94043,1850000,4,3.5,MOUNTAIN VIEW,2204,1524,2015,2,Garage,,Sold,,,,,1850000,2015-03-26,1835000.0,http://www.redfin.com/CA/Mountain-View/101-Savannah-Loop-94043/home/63682655,MLSListings Inc. (MLSLI),ML81449951,"Charles R. Baldwin, Broker",N,Y,,,false
Past Sale,Single Family Residential,2747 Saint Giles Ln,MOUNTAIN VIEW,CA,94040,1849000,4,3.0,MOUNTAIN VIEW,2008,8276,1964,3,Garage,,Sold,,,,,1849000,2015-03-31,2280000.0,http://www.redfin.com/CA/Mountain-View/2747-Saint-Giles-Ln-94040/home/993016,MLSListings Inc. (MLSLI),ML81455932,Coldwell Banker Los Altos,N,Y,37.363875,-122.071617,false
Past Sale,Single Family Residential,1160 Barbara Ave,Mountain View,CA,94040,,3,2.0,94040,1795,,1954,,,,,,,,,,2015-02-25,1950000.0,http://www.redfin.com/CA/Mountain-View/1160-Barbara-Ave-94040/home/1174391,,,,N,Y,37.377403,-122.091435,
